contract_hash,contract_type
0x3fe2b3e8feb33ed523ce8f786c22cb6556f8a33f,1
0xaae10c1223df062e2df6982a80621977fa8b2d34,1
0xf6b8836492f8332d17b1496828d2bee71ad511da,1
0x43386190b78ed35551a104bd374522725b20fe57,1
0x109A81F1E0A35D4c1D0cae8aCc6597cd54b47Bc6,1
0x60d5f145bbed3049e45f5e37cf29e1efffa84863,1
0x5b727627d4deae1902b2a718fd6f58c6f2478dbb,1
0xdd4950f977ee28d2c132f1353d1595035db444ee,1
0x4e646a576917a6a47d5b0896c3e207693870869d,1
0xf5d347fe5de0fab5ce7c5b451957f209f5943305,1
0x465139848da6e66117f6b67540efcfb1c170c724,1
0x26936b691450a838b6df4965b58f2c53a9139d29,1
0xf656ced3550497c9d67449781a2c2b28beceb013,1
0x1795218920f5b7949caca9612ed4046b770f69ca,1
0x820dfa17d30f938dc2c172b716630a06ec759d99,1
0x7beba6d5f523856c8f51c7080543cf69041036fe,1
0xf94f5e1109da4aac4bcb97ab47d27313bf1d0fbb,1
0x3bb6fab3378aca4d9de11bc731c52fa1c6ed5608,1
0xde725d5d8ba8d45a66e2196aa4423f26505c39ac,1
0x040683e15cc364797e60609be8b9b4e6a78c72b9,1
0xddf22a0bb30107e895236d4f9e0ade4750a12163,1
0xe150b693404a433b1c822c113f3fa84fe8e2c255,1
0xd60d353610d9a5ca478769d371b53cefaa7b6e4c,1
0xcafa3597555101f2e1cac4c637097d18e36af7f8,1
0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,1
0x0a77521fdcfb07b6c98a4827b445dad6ec01ae58,1
0x58ab239b029e80132f907f098285055fa0c6a774,1
0x4e87a723a3a75c41e34ad6e6995f724d9abdc745,1
0xda39857f898e37af86fdabd8d688efe84d3f4106,1
0xd5d10172e8d8b84ac83031c16fe093cba4c84fc6,1
0xb507a4c2b07aad8e19f99d179d8f90b2b72b4f72,1
0x193ff455560318fc749e2ffbb0e6472e5192e427,1
0xe6b9534d1bb387fa39eacc0a9c15be793a2d7ee0,1
0x5ab8603deeafdbe6db815894613e0c260294120f,1
0x7da247644c9f5bc0ea4e2c789ebf69569cdd3f1a,1
0x4e9b73563c6108e8f04d18613aeaee514b3670b0,1
